관리코드,상품명,기준상품명,마켓카테고리,식품안전유형힌트,등급,규격,산지,포장,보관,norm_key
P132122110140,꿀고구마 / (비세척) 3kg / 한입 / 개당 20-50g,꿀고구마,채소,채소류,,3kg|50g,,,,꿀고구마
P122112391059,상주곶감 / 건시 / 실속형 / 500g x 1봉,상주곶감,견과/건과,견과류/건과류,상,500g|1봉,,실속형,,상주곶감
P122112391060,상주곶감 / 건시 / 실속형 / 500g x 2봉,상주곶감,견과/건과,견과류/건과류,상,500g|2봉,,실속형,,상주곶감
P122112391061,상주곶감 / 건시 / 실속형 / 500g x 3봉,상주곶감,견과/건과,견과류/건과류,상,500g|3봉,,실속형,,상주곶감
P122112391062,상주곶감 / 건시 / 실속형 / 500g x 4봉,상주곶감,견과/건과,견과류/건과류,상,500g|4봉,,실속형,,상주곶감
P122112391063,상주곶감 / 반건시 / 실속형 / 500g x 1팩,상주곶감,견과/건과,견과류/건과류,상,500g|1팩,,실속형,,상주곶감
P122112391064,상주곶감 / 반건시 / 실속형 / 500g x 2팩,상주곶감,견과/건과,견과류/건과류,상,500g|2팩,,실속형,,상주곶감
P122112391065,상주곶감 / 반건시 / 실속형 / 500g x 3팩,상주곶감,견과/건과,견과류/건과류,상,500g|3팩,,실속형,,상주곶감
P122112391066,상주곶감 / 반건시 / 실속형 / 500g x 4팩,상주곶감,견과/건과,견과류/건과류,상,500g|4팩,,실속형,,상주곶감
P122112391067,상주곶감 / 건시 / 선물용 / 1kg (20-24과),상주곶감,견과/건과,견과류/건과류,상,1kg|24과,,선물용,,상주곶감
P122112391068,상주곶감 / 건시 / 선물용 / 1.5kg (30-36과),상주곶감,견과/건과,견과류/건과류,상,1.5kg|36과,,선물용,,상주곶감
P122112391069,상주곶감 / 반건시 / 선물용 / 1kg (20과),상주곶감,견과/건과,견과류/건과류,상,1kg|20과,,선물용,,상주곶감
P122112391070,상주곶감 / 반건시 / 선물용 / 1.5kg (30과),상주곶감,견과/건과,견과류/건과류,상,1.5kg|30과,,선물용,,상주곶감
P142110741103,흑대추방울토마토 / 1kg / 혼합,흑대추방울토마토,과일,과일류,,1kg,,,,흑대추방울토마토
P142110741104,흑대추방울토마토 / 2kg / 혼합,흑대추방울토마토,과일,과일류,,2kg,,,,흑대추방울토마토
,[세트] 한우 1++ 등급 /차돌 / 200g / 3팩,[세트] 한우 1++ 등급,축산/계란,미분류,,200g|3팩,,팩,,세트한우1등급
,[세트] 한우 1++ 등급 /갈비살 200g + 차돌 200g + 삼각살 200g,[세트] 한우 1++ 등급,축산/계란,미분류,,200g|200g|200g,,,,세트한우1등급
,[세트] 한우 1++ 등급 /등심 200g + 차돌 200g + 삼각살 200g,[세트] 한우 1++ 등급,축산/계란,미분류,,200g|200g|200g,,,,세트한우1등급
,[세트] 한우 1++ 등급 / 등심 200g + 갈비살 200g + 차돌 200g,[세트] 한우 1++ 등급,축산/계란,미분류,,200g|200g|200g,,,,세트한우1등급
,[세트] 한우 1++ 등급 / 보섭살 / 200g / 3팩,[세트] 한우 1++ 등급,축산/계란,미분류,,200g|3팩,,팩,,세트한우1등급
,[세트] 한우 1++ 등급 / 등심 / 200g / 3팩,[세트] 한우 1++ 등급,축산/계란,미분류,,200g|3팩,,팩,,세트한우1등급
,[세트] 한우 1++ 등급 / 불고기 / 200g / 3팩,[세트] 한우 1++ 등급,축산/계란,미분류,,200g|3팩,,팩,,세트한우1등급
,[세트] 한우 1++ 등급 / 국거리 / 200g / 3팩,[세트] 한우 1++ 등급,축산/계란,미분류,,200g|3팩,,팩,,세트한우1등급
,육우 2-3등급 / 육우 2-3등급 대패등심 600g(200g*3팩),육우 2-3등급,축산/계란,미분류,,600g|200g|3팩,,팩,,육우23등급
,수입산 돈육 / 등갈비 600g 내외,수입산 돈육,미분류,미분류,,600g,수입산,,,수입산돈육
,[단품] 미국산 우삼겹 / 200g / 1팩,[단품] 미국산 우삼겹,축산/계란,미분류,,200g|1팩,미국산,팩,,단품미국산우삼겹
,[단품] 업진살 / 200g / 1팩,[단품] 업진살,미분류,미분류,,200g|1팩,,팩,,단품업진살
,스테비아 방울토마토 / 2kg,스테비아 방울토마토,과일,과일류,,2kg,,,,스테비아방울토마토
,스테비아 방울토마토 / 1.5kg / (750g*2팩),스테비아 방울토마토,과일,과일류,,1.5kg|750g|2팩,,팩,,스테비아방울토마토
,스테비아 방울토마토 / 1.5kg,스테비아 방울토마토,과일,과일류,,1.5kg,,,,스테비아방울토마토
,스테비아 방울토마토 / 1kg,스테비아 방울토마토,과일,과일류,,1kg,,,,스테비아방울토마토
,스테비아 방울토마토 / 750g,스테비아 방울토마토,과일,과일류,,750g,,,,스테비아방울토마토
,스테비아 방울토마토 / 500g,스테비아 방울토마토,과일,과일류,,500g,,,,스테비아방울토마토
,대추방울토마토 / 750g x 1팩,대추방울토마토,과일,과일류,,750g|1팩,,팩,,대추방울토마토
,대추방울토마토 / 1kg,대추방울토마토,과일,과일류,,1kg,,,,대추방울토마토
,대추방울토마토 / 750g x 2팩,대추방울토마토,과일,과일류,,750g|2팩,,팩,,대추방울토마토
,대추방울토마토 / 2kg,대추방울토마토,과일,과일류,,2kg,,,,대추방울토마토
P312153742188,흙당근 / 쥬스용 / 5kg(박스포함) / 혼합,흙당근,채소,과채가공품,,5kg,,박스,,흙당근
P312153742189,흙당근 / 쥬스용 / 10kg(박스포함) / 혼합,흙당근,채소,과채가공품,,10kg,,박스,,흙당근
P071184162192,볶음땅콩 / (무배) 일반땅콩 / 400g,볶음땅콩,과일,과일류,,400g,,,,볶음땅콩
P071184162193,볶음땅콩 / (무배) 레드땅콩 / 400g,볶음땅콩,과일,과일류,,400g,,,,볶음땅콩
,급냉 산딸기 / 500g * 1봉,급냉 산딸기,과일,과일류,,500g|1봉,,봉,,급냉산딸기
